# Accelerometer Data File
# Started @Wed Oct 14 10:13:25 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.459 9.624 2.564 2
0.464 9.634 2.578 2
0.474 9.646 2.602 2
0.481 9.646 2.607 2
0.498 9.653 2.626 2
0.502 9.656 2.633 2
0.517 9.648 2.638 2
0.502 9.677 2.638 2
0.493 9.682 2.628 2
0.493 9.682 2.628 2
0.483 9.687 2.626 2
0.493 9.701 2.614 2
0.49 9.682 2.6 2
0.483 9.677 2.588 2
0.469 9.692 2.564 2
0.464 9.687 2.554 2
0.457 9.682 2.535 2
0.407 9.658 2.516 2
0.407 9.658 2.516 2
0.392 9.658 2.511 2
0.387 9.66 2.511 2
0.356 9.67 2.516 2
0.337 9.668 2.516 2
0.325 9.672 2.511 2
0.296 9.66 2.502 2
0.296 9.656 2.487 2
0.263 9.68 2.482 2
0.205 9.699 2.475 2
0.205 9.699 2.475 2
0.184 9.694 2.48 1
0.169 9.696 2.494 2
0.162 9.677 2.513 2
0.15 9.672 2.523 2
0.136 9.675 2.537 2
0.1 9.68 2.561 2
0.086 9.675 2.581 2
0.069 9.696 2.604 2
0.112 9.687 2.624 2
0.112 9.687 2.624 2
0.124 9.689 2.624 2
0.129 9.694 2.624 2
0.162 9.689 2.597 2
0.184 9.682 2.578 2
0.191 9.696 2.566 2
0.225 9.703 2.542 2
0.232 9.694 2.533 2
0.232 9.67 2.516 2
0.198 9.653 2.48 2
0.198 9.653 2.48 2
0.186 9.663 2.468 2
0.181 9.67 2.451 2
0.165 9.644 2.434 2
0.143 9.632 2.399 2
0.136 9.62 2.384 2
0.119 9.632 2.367 2
0.138 9.641 2.363 2
0.162 9.648 2.358 2
0.177 9.653 2.396 2
0.177 9.653 2.396 2
0.184 9.656 2.403 3
0.196 9.646 2.413 2
0.225 9.629 2.418 2
0.249 9.634 2.423 2
0.253 9.629 2.427 2
0.251 9.624 2.423 2
0.241 9.627 2.434 2
0.246 9.636 2.446 2
0.256 9.651 2.458 2
0.256 9.651 2.458 2
0.256 9.651 2.458 2
0.306 9.653 2.451 2
0.323 9.67 2.492 2
0.32 9.648 2.516 2
0.325 9.656 2.523 2
0.33 9.67 2.537 2
0.378 9.68 2.564 2
0.433 9.687 2.588 2
0.49 9.703 2.65 2
0.49 9.703 2.65 2
0.49 9.703 2.65 2
0.49 9.706 2.652 2
0.486 9.718 2.657 2
0.498 9.732 2.655 2
0.502 9.739 2.655 2
0.509 9.754 2.657 2
0.541 9.756 2.657 2
0.519 9.751 2.652 2
0.562 9.756 2.607 2
0.562 9.756 2.607 2
0.562 9.756 2.607 1
0.577 9.751 2.569 2
0.567 9.708 2.545 2
0.538 9.692 2.518 2
0.521 9.692 2.504 2
0.514 9.684 2.499 3
0.509 9.68 2.502 2
0.509 9.687 2.509 2
0.505 9.687 2.557 2
0.505 9.687 2.557 2
0.505 9.687 2.557 2
0.493 9.68 2.578 2
0.486 9.68 2.578 2
0.43 9.675 2.607 2
0.426 9.665 2.612 2
0.423 9.658 2.624 2
0.392 9.658 2.657 2
0.38 9.648 2.664 2
0.27 9.617 2.643 2
0.27 9.601 2.633 2
0.27 9.601 2.633 2
0.193 9.574 2.619 1
0.167 9.562 2.614 2
0.062 9.531 2.607 2
0.038 9.522 2.602 2
0.021 9.51 2.602 2
0.002 9.522 2.602 2
-0.004 9.526 2.583 2
-0.086 9.543 2.592 2
-0.086 9.543 2.592 2
-0.086 9.543 2.592 2
-0.112 9.536 2.576 2
-0.126 9.526 2.581 2
-0.141 9.526 2.585 2
-0.16 9.531 2.561 2
-0.16 9.553 2.54 2
-0.16 9.565 2.513 2
-0.169 9.562 2.516 2
-0.205 9.524 2.528 2
-0.205 9.524 2.528 2
-0.205 9.524 2.528 2
-0.198 9.529 2.54 2
-0.196 9.514 2.559 2
-0.162 9.502 2.59 2
-0.16 9.5 2.609 2
-0.169 9.522 2.631 2
-0.131 9.531 2.655 2
-0.105 9.541 2.676 2
-0.057 9.567 2.753 2
-0.035 9.572 2.765 2
-0.035 9.572 2.765 2
-0.026 9.586 2.81 2
-0.026 9.586 2.825 2
-0.021 9.589 2.851 2
-0.014 9.591 2.877 2
0.014 9.577 2.918 2
0.026 9.586 2.947 2
0.033 9.589 2.961 2
0.057 9.589 3.0 2
0.057 9.589 3.0 2
0.059 9.601 3.011 3
0.076 9.617 3.033 2
0.074 9.615 3.035 2
0.055 9.622 3.05 2
0.059 9.622 3.059 2
0.09 9.636 3.088 2
0.1 9.648 3.1 2
0.093 9.644 3.136 2
0.124 9.672 3.143 2
0.126 9.675 3.141 2
0.126 9.675 3.141 2
0.126 9.67 3.129 2
0.117 9.675 3.098 2
0.11 9.672 3.091 2
0.102 9.67 3.079 2
0.107 9.668 3.067 2
0.112 9.668 3.062 2
0.124 9.668 3.045 2
0.119 9.653 3.014 2
0.119 9.653 3.014 2
0.117 9.648 3.002 2
0.126 9.646 2.997 2
0.148 9.644 2.995 2
0.148 9.627 2.99 2
0.153 9.629 2.988 2
0.165 9.634 2.983 2
0.167 9.627 2.968 2
0.179 9.603 2.947 2
0.181 9.624 2.932 2
0.181 9.624 2.932 2
0.196 9.624 2.925 2
0.198 9.62 2.916 2
0.193 9.613 2.909 2
0.203 9.603 2.899 2
0.203 9.593 2.906 2
0.193 9.603 2.906 2
0.198 9.603 2.899 2
0.203 9.598 2.897 2
0.21 9.541 2.875 2
0.21 9.541 2.875 2
0.193 9.534 2.88 2
0.198 9.534 2.88 2
0.196 9.541 2.882 2
0.186 9.531 2.877 2
0.186 9.526 2.87 2
0.177 9.534 2.877 2
0.179 9.526 2.88 2
0.181 9.51 2.889 2
0.186 9.483 2.868 2
0.186 9.483 2.868 2
0.184 9.476 2.868 2
0.186 9.471 2.875 2
0.155 9.469 2.868 2
0.143 9.45 2.851 2
0.138 9.44 2.842 2
0.146 9.438 2.846 2
0.138 9.426 2.851 2
0.134 9.409 2.861 2
0.129 9.397 2.885 2
0.129 9.397 2.885 2
0.117 9.397 2.885 1
0.119 9.397 2.88 2
0.158 9.399 2.885 2
0.167 9.423 2.853 2
0.174 9.428 2.839 2
0.203 9.433 2.806 2
0.217 9.471 2.794 2
0.232 9.478 2.772 2
0.256 9.524 2.767 2
0.256 9.524 2.767 2
0.256 9.524 2.767 2
0.263 9.526 2.779 2
0.246 9.517 2.801 2
0.244 9.514 2.825 2
0.237 9.522 2.827 2
0.225 9.519 2.839 2
0.213 9.522 2.837 2
0.184 9.526 2.827 2
0.177 9.526 2.827 2
0.177 9.526 2.827 2
0.177 9.526 2.827 2
0.155 9.519 2.834 2
0.146 9.526 2.853 2
0.134 9.538 2.856 2
0.126 9.541 2.868 2
0.122 9.538 2.882 2
0.117 9.541 2.899 2
0.098 9.565 2.916 2
0.076 9.589 2.918 2
0.076 9.589 2.918 2
0.076 9.589 2.918 3
0.067 9.577 2.909 2
0.057 9.586 2.904 2
0.052 9.596 2.901 2
0.052 9.617 2.906 2
0.047 9.622 2.909 2
0.038 9.62 2.911 2
0.026 9.632 2.918 2
0.033 9.644 2.925 2
0.033 9.644 2.925 2
0.033 9.644 2.925 2
0.038 9.653 2.94 2
0.05 9.656 2.944 2
0.064 9.656 2.913 2
0.062 9.658 2.911 2
0.055 9.651 2.904 2
0.052 9.658 2.885 2
0.064 9.66 2.885 2
0.09 9.665 2.863 2
0.102 9.67 2.858 2
0.102 9.67 2.858 2
0.107 9.66 2.873 2
0.119 9.66 2.88 2
0.141 9.68 2.892 2
0.16 9.684 2.894 2
0.162 9.689 2.899 2
