# Accelerometer Data File
# Started @Wed Oct 14 10:14:43 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.249 9.562 1.98 2
0.249 9.562 1.98 2
0.251 9.565 2.013 2
0.241 9.567 2.027 2
0.217 9.553 2.097 2
0.184 9.536 2.152 2
0.112 9.493 2.236 2
0.1 9.476 2.238 2
0.114 9.49 2.229 2
0.165 9.51 2.243 2
0.249 9.536 2.157 2
0.249 9.536 2.157 2
0.246 9.541 2.109 2
0.263 9.548 2.078 2
0.306 9.55 2.054 2
0.313 9.548 2.025 2
0.296 9.545 2.032 2
0.265 9.531 2.051 2
0.162 9.495 2.056 2
0.067 9.502 2.128 2
0.052 9.526 2.229 2
0.033 9.529 2.264 2
0.033 9.529 2.264 2
0.009 9.567 2.288 2
0.004 9.603 2.257 2
0.016 9.622 2.233 2
0.074 9.696 2.207 2
0.119 9.732 2.183 2
0.179 9.797 2.123 2
0.155 9.838 2.078 2
0.158 9.859 2.085 2
0.158 9.859 2.085 2
0.167 9.842 2.092 2
0.098 9.809 2.104 2
0.019 9.771 2.099 2
-0.004 9.761 2.09 2
-0.021 9.725 2.075 2
-0.047 9.715 2.08 2
-0.09 9.703 2.106 2
-0.05 9.713 2.118 2
0.002 9.775 2.14 2
0.002 9.775 2.14 2
-0.016 9.778 2.138 2
-0.079 9.794 2.145 2
-0.134 9.806 2.181 2
-0.136 9.826 2.212 2
-0.095 9.859 2.26 2
-0.081 9.873 2.272 2
-0.086 9.885 2.293 2
-0.105 9.885 2.312 2
-0.1 9.909 2.384 2
-0.1 9.909 2.384 2
-0.107 9.905 2.396 2
-0.095 9.909 2.43 2
-0.102 9.912 2.468 2
-0.129 9.897 2.53 2
-0.177 9.89 2.6 2
-0.174 9.888 2.631 2
-0.102 9.909 2.628 2
-0.079 9.919 2.614 2
-0.016 9.897 2.485 2
-0.016 9.897 2.485 2
-0.026 9.89 2.444 2
-0.055 9.888 2.32 2
-0.069 9.883 2.25 2
-0.102 9.878 2.116 2
-0.148 9.866 1.963 2
-0.208 9.85 1.881 2
-0.33 9.814 1.671 2
-0.402 9.806 1.577 2
-0.682 9.735 1.204 2
-0.682 9.735 1.204 2
-0.768 9.718 1.115 2
-0.873 9.711 0.976 2
-0.912 9.725 0.921 2
-0.95 9.751 0.809 2
-0.96 9.78 0.701 2
-0.957 9.785 0.67 2
-0.945 9.792 0.61 2
-0.926 9.809 0.586 2
-0.794 9.869 0.55 2
-0.794 9.869 0.55 2
-0.761 9.869 0.569 2
-0.689 9.869 0.632 2
-0.651 9.873 0.672 2
-0.577 9.864 0.773 2
-0.529 9.857 0.828 2
-0.438 9.842 0.962 2
-0.361 9.835 1.113 2
-0.33 9.823 1.199 2
-0.184 9.809 1.589 2
-0.184 9.809 1.589 2
-0.15 9.802 1.704 2
-0.093 9.785 1.905 2
-0.062 9.778 1.994 2
-0.04 9.773 2.169 2
-0.021 9.754 2.241 2
0.009 9.711 2.343 2
0.052 9.692 2.411 2
0.067 9.682 2.437 2
0.117 9.665 2.511 2
0.117 9.665 2.511 2
0.141 9.663 2.525 2
0.205 9.696 2.537 2
0.239 9.718 2.523 2
0.282 9.751 2.497 2
0.292 9.766 2.482 2
0.306 9.79 2.485 2
0.301 9.811 2.485 2
0.284 9.823 2.482 2
0.263 9.862 2.456 2
0.263 9.862 2.456 2
0.253 9.873 2.43 2
0.234 9.888 2.377 2
0.225 9.9 2.339 2
0.181 9.917 2.267 2
0.165 9.933 2.241 2
0.155 9.941 2.176 2
0.165 9.936 2.08 2
0.167 9.945 2.018 2
0.179 9.941 1.908 2
0.179 9.941 1.908 2
0.162 9.933 1.896 2
0.138 9.924 1.903 2
0.081 9.89 1.927 2
0.045 9.852 1.936 2
0.016 9.809 1.972 2
-0.009 9.708 2.152 2
-0.023 9.701 2.293 2
-0.031 9.742 2.6 2
-0.071 9.866 2.679 2
-0.071 9.909 2.547 2
-0.064 9.957 2.367 2
-0.045 10.012 2.154 2
0.016 10.122 1.692 2
0.112 10.199 1.297 2
0.146 10.209 1.137 2
0.169 10.211 0.857 2
0.172 10.192 0.763 2
0.126 10.13 0.689 2
0.112 10.005 0.785 2
0.112 10.005 0.785 2
0.102 9.979 0.847 2
0.1 9.943 0.924 2
0.062 9.902 1.075 2
0.035 9.862 1.206 2
0.026 9.84 1.273 2
0.014 9.826 1.338 2
0.014 9.84 1.338 2
0.009 9.869 1.302 2
0.035 9.945 1.118 2
0.04 9.962 1.043 2
0.04 9.976 0.974 2
0.033 9.976 0.914 2
-0.007 9.988 0.833 2
-0.059 9.993 0.766 2
-0.074 9.996 0.739 2
-0.059 9.974 0.677 2
-0.055 9.962 0.646 2
-0.076 9.969 0.617 2
-0.067 9.938 0.615 2
-0.067 9.938 0.615 2
-0.062 9.921 0.603 2
-0.076 9.909 0.584 2
-0.088 9.883 0.521 2
-0.1 9.876 0.498 2
-0.122 9.84 0.438 2
-0.165 9.811 0.359 2
-0.201 9.79 0.33 2
-0.256 9.742 0.26 2
-0.351 9.605 0.138 2
-0.351 9.605 0.138 2
-0.363 9.581 0.112 2
-0.383 9.555 0.081 2
-0.433 9.476 0.033 2
-0.459 9.44 0.033 2
-0.498 9.392 0.064 2
-0.488 9.395 0.081 2
-0.462 9.402 0.086 2
-0.395 9.416 0.069 2
-0.304 9.471 -0.004 2
-0.304 9.471 -0.004 2
-0.277 9.488 -0.016 2
-0.289 9.5 -0.023 2
-0.344 9.507 0.019 2
-0.373 9.534 0.055 2
-0.466 9.622 0.143 2
-0.648 9.727 0.32 2
-0.687 9.768 0.43 2
-0.675 9.806 0.624 2
-0.486 9.9 0.897 2
-0.486 9.9 0.897 2
-0.373 9.924 0.986 2
-0.335 9.924 1.015 2
-0.265 9.876 1.084 2
-0.258 9.862 1.11 2
-0.208 9.864 1.091 2
-0.122 9.885 1.048 2
-0.095 9.909 0.883 2
-0.064 9.924 0.723 2
-0.153 9.816 0.557 2
-0.131 9.828 0.524 2
-0.131 9.828 0.524 2
-0.016 9.869 0.383 2
0.064 9.888 0.16 2
0.093 9.902 0.079 2
0.162 9.953 -0.086 2
0.181 9.986 -0.193 2
0.136 10.029 -0.38 2
0.098 10.087 -0.517 2
0.014 10.139 -0.617 2
0.014 10.139 -0.617 2
-0.007 10.154 -0.632 2
-0.007 10.213 -0.658 2
0.059 10.307 -0.732 2
0.114 10.367 -0.778 2
0.15 10.415 -0.873 2
0.112 10.412 -0.902 2
0.04 10.419 -0.89 2
-0.062 10.381 -0.83 2
-0.131 10.362 -0.804 2
-0.131 10.362 -0.804 2
-0.155 10.343 -0.797 2
-0.196 10.312 -0.761 2
-0.232 10.281 -0.715 2
-0.249 10.281 -0.701 2
-0.244 10.292 -0.656 2
-0.241 10.304 -0.632 2
-0.251 10.316 -0.598 2
-0.332 10.314 -0.553 2
-0.469 10.29 -0.469 2
-0.519 10.29 -0.469 2
-0.519 10.273 -0.44 2
-0.605 10.245 -0.387 2
-0.679 10.225 -0.304 2
-0.684 10.199 -0.263 2
-0.61 10.213 -0.229 2
-0.56 10.218 -0.225 2
-0.462 10.199 -0.203 2
-0.423 10.175 -0.181 2
-0.339 10.079 -0.09 2
-0.339 10.079 -0.09 2
-0.32 10.07 -0.062 2
-0.299 10.034 -0.021 2
-0.287 10.008 -0.002 2
-0.26 9.972 0.038 2
-0.184 9.974 0.014 2
-0.131 9.976 -0.019 2
-0.064 9.969 -0.088 2
-0.059 9.969 -0.126 2
-0.043 9.986 -0.237 2
-0.043 9.986 -0.237 2
-0.026 9.993 -0.258 2
0.026 10.077 -0.351 2
0.014 10.087 -0.395 2
-0.045 10.051 -0.438 2
-0.198 9.986 -0.416 2
-0.265 9.953 -0.407 2
-0.395 9.885 -0.366 2
-0.45 9.852 -0.323 2
-0.469 9.833 -0.249 2
-0.469 9.833 -0.249 2
-0.44 9.83 -0.253 2
-0.387 9.821 -0.277 2
-0.366 9.811 -0.284 2
-0.339 9.794 -0.272 2
-0.351 9.751 -0.239 2
-0.347 9.73 -0.213 2
-0.32 9.73 -0.189 2
-0.301 9.73 -0.196 2
-0.292 9.62 -0.181 2
-0.292 9.62 -0.181 2
-0.313 9.601 -0.169 2
-0.32 9.591 -0.179 2
-0.335 9.579 -0.179 2
-0.407 9.522 -0.136 2
-0.462 9.517 -0.11 2
-0.486 9.466 -0.069 2
-0.548 9.435 0.007 2
-0.574 9.407 0.045 2
-0.727 9.253 0.378 2
-0.727 9.253 0.378 2
-0.751 9.232 0.43 2
-0.775 9.186 0.502 2
-0.809 9.17 0.553 2
-0.878 9.15 0.615 2
-0.917 9.141 0.641 2
-0.936 9.143 0.648 2
-0.883 9.15 0.632 2
-0.852 9.172 0.627 2
-0.617 9.294 0.44 2
-0.617 9.294 0.44 2
-0.533 9.332 0.366 2
-0.304 9.438 0.186 2
-0.189 9.486 0.107 2
0.035 9.581 -0.069 2
0.153 9.646 -0.16 2
0.347 9.771 -0.368 2
0.502 9.921 -0.579 2
0.569 10.0 -0.682 2
0.826 10.386 -1.043 2
0.826 10.386 -1.043 2
0.881 10.489 -1.122 2
0.943 10.637 -1.285 2
0.955 10.695 -1.321 2
0.895 10.783 -1.345 2
0.83 10.798 -1.338 2
0.694 10.855 -1.328 2
0.569 10.879 -1.324 2
0.505 10.884 -1.324 2
0.363 10.862 -1.242 2
0.363 10.862 -1.242 2
0.371 10.87 -1.221 2
0.368 10.86 -1.197 2
0.339 10.745 -1.142 2
0.253 10.611 -1.051 2
0.222 10.558 -0.991 2
0.203 10.448 -0.905 2
0.21 10.393 -0.852 2
0.222 10.3 -0.747 2
0.301 10.149 -0.62 2
0.301 10.149 -0.62 2
0.299 10.166 -0.586 2
0.268 10.206 -0.536 2
0.268 10.211 -0.512 2
0.296 10.125 -0.462 2
0.272 10.087 -0.414 2
0.217 10.0 -0.371 2
0.198 9.955 -0.339 2
0.162 9.907 -0.294 2
0.162 9.89 -0.292 2
0.177 9.895 -0.294 2
0.213 9.885 -0.301 2
0.234 9.881 -0.32 2
0.241 9.854 -0.342 2
0.256 9.857 -0.332 2
0.27 9.871 -0.325 2
0.318 9.895 -0.347 2
0.335 9.897 -0.359 2
0.332 9.852 -0.385 2
0.249 9.797 -0.442 2
0.249 9.797 -0.442 2
0.217 9.778 -0.44 2
0.181 9.754 -0.426 2
0.172 9.735 -0.39 2
0.179 9.72 -0.342 2
0.189 9.703 -0.337 2
0.198 9.692 -0.347 2
0.22 9.701 -0.349 2
0.232 9.727 -0.38 2
0.181 9.706 -0.471 2
0.181 9.706 -0.471 2
0.153 9.706 -0.483 2
0.134 9.708 -0.502 2
0.119 9.723 -0.521 2
0.119 9.735 -0.55 2
0.098 9.739 -0.627 2
0.083 9.759 -0.696 2
0.064 9.778 -0.72 2
0.062 9.816 -0.773 2
0.071 9.871 -0.873 2
0.064 9.883 -0.895 2
0.052 9.909 -0.912 2
0.035 9.931 -0.936 2
0.0 9.931 -0.955 2
-0.023 9.929 -0.948 2
-0.04 9.931 -0.933 2
-0.011 9.948 -0.931 2
0.011 9.953 -0.967 2
0.028 9.926 -1.017 2
-0.009 9.859 -1.015 2
-0.009 9.859 -1.015 2
-0.007 9.809 -0.993 2
-0.011 9.797 -0.981 2
0.016 9.809 -0.96 2
0.052 9.799 -0.957 2
0.112 9.818 -0.964 2
0.138 9.838 -0.964 2
0.134 9.893 -0.948 2
0.031 10.034 -0.866 2
0.193 10.017 -0.826 2
0.232 10.008 -0.794 2
0.244 9.996 -0.799 2
0.249 9.969 -0.83 2
0.301 9.902 -0.826 2
0.323 9.883 -0.83 2
0.339 9.823 -0.852 2
0.354 9.806 -0.806 2
0.373 9.79 -0.799 2
0.39 9.761 -0.782 2
0.423 9.749 -0.737 2
0.423 9.749 -0.737 2
0.426 9.749 -0.72 2
0.43 9.73 -0.701 2
0.404 9.684 -0.682 2
0.39 9.675 -0.668 2
0.363 9.639 -0.636 2
0.347 9.622 -0.617 2
0.337 9.584 -0.579 2
0.323 9.538 -0.531 2
0.339 9.469 -0.483 2
0.339 9.469 -0.483 2
0.328 9.469 -0.459 2
0.21 9.541 -0.383 2
0.323 9.49 -0.375 2
0.404 9.447 -0.325 2
0.423 9.378 -0.289 2
0.397 9.33 -0.301 2
0.402 9.234 -0.272 2
0.385 9.191 -0.296 2
0.399 9.16 -0.296 2
0.411 9.16 -0.296 2
0.411 9.16 -0.318 2
0.442 9.165 -0.387 2
0.469 9.143 -0.457 2
0.471 9.136 -0.493 2
0.433 9.136 -0.55 2
0.409 9.138 -0.581 2
0.277 9.217 -0.608 2
0.217 9.258 -0.665 2
0.342 9.198 -0.668 2
0.342 9.198 -0.668 2
0.332 9.182 -0.684 2
0.32 9.129 -0.766 2
0.313 9.1 -0.773 2
0.311 9.074 -0.794 2
0.332 9.047 -0.854 2
0.339 9.04 -0.876 2
0.383 9.026 -0.938 2
0.435 9.014 -0.964 2
0.452 8.968 -1.07 2
0.452 8.968 -1.07 2
0.471 8.952 -1.084 2
0.457 8.923 -1.082 2
0.442 8.897 -1.07 2
0.418 8.865 -1.053 2
0.39 8.839 -1.012 2
0.392 8.825 -0.996 2
0.392 8.81 -0.976 2
0.387 8.791 -0.962 2
0.416 8.734 -0.921 2
0.416 8.734 -0.921 2
0.418 8.717 -0.905 2
0.409 8.679 -0.871 2
0.411 8.662 -0.857 2
0.383 8.638 -0.804 2
0.368 8.609 -0.747 2
0.359 8.602 -0.713 2
0.351 8.59 -0.651 2
0.344 8.573 -0.62 2
0.328 8.526 -0.538 2
0.328 8.526 -0.538 2
0.32 8.523 -0.524 2
0.313 8.511 -0.49 2
0.308 8.494 -0.462 2
0.301 8.48 -0.414 2
0.253 8.437 -0.354 2
0.22 8.423 -0.332 2
0.174 8.379 -0.294 2
0.169 8.36 -0.268 2
0.227 8.324 -0.177 2
0.227 8.324 -0.177 2
0.244 8.315 -0.177 2
0.268 8.296 -0.158 2
0.277 8.286 -0.16 2
0.299 8.265 -0.184 2
0.316 8.241 -0.189 2
0.316 8.219 -0.213 2
0.301 8.188 -0.249 2
0.292 8.164 -0.265 2
0.246 8.066 -0.332 2
0.246 8.066 -0.332 2
0.237 8.039 -0.339 2
0.225 8.02 -0.344 2
0.217 7.999 -0.349 2
0.177 7.958 -0.354 2
0.16 7.939 -0.354 2
0.131 7.898 -0.366 2
0.102 7.848 -0.368 2
0.093 7.819 -0.366 2
0.045 7.723 -0.359 2
0.045 7.723 -0.359 2
0.016 7.695 -0.354 2
-0.007 7.647 -0.33 2
-0.004 7.613 -0.323 2
-0.002 7.561 -0.299 2
-0.004 7.534 -0.284 2
-0.035 7.467 -0.253 2
-0.047 7.398 -0.213 2
-0.04 7.371 -0.196 2
-0.071 7.312 -0.114 2
-0.071 7.312 -0.114 2
-0.088 7.302 -0.102 2
-0.09 7.288 -0.083 2
-0.083 7.295 -0.069 2
-0.083 7.302 -0.052 2
-0.09 7.302 -0.045 2
-0.095 7.312 -0.047 2
-0.093 7.314 -0.059 2
-0.086 7.316 -0.069 2
-0.064 7.348 -0.119 2
-0.064 7.348 -0.119 2
-0.05 7.34 -0.136 2
-0.026 7.331 -0.162 2
-0.028 7.324 -0.153 2
-0.023 7.307 -0.141 2
-0.019 7.3 -0.141 2
-0.009 7.29 -0.138 2
-0.007 7.28 -0.138 2
0.007 7.264 -0.165 2
0.052 7.223 -0.179 2
0.052 7.206 -0.179 2
0.059 7.194 -0.174 2
0.059 7.173 -0.167 2
0.069 7.118 -0.165 2
0.069 7.067 -0.172 2
0.071 7.041 -0.177 2
0.052 7.01 -0.169 2
0.05 6.979 -0.165 2
0.026 6.943 -0.15 2
-0.035 6.869 -0.129 2
-0.035 6.869 -0.129 2
