# Accelerometer Data File
# Started @Wed Oct 14 09:18:47 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.725 7.879 5.351 0
-0.715 7.877 5.336 1
-0.691 7.884 5.305 2
-0.665 7.908 5.279 2
-0.524 7.996 5.214 2
-0.524 7.996 5.214 2
-0.498 8.008 5.197 2
-0.452 8.063 5.185 2
-0.416 8.092 5.174 2
-0.337 8.116 5.154 2
-0.268 8.169 5.15 2
-0.227 8.186 5.15 2
-0.155 8.221 5.162 2
-0.126 8.243 5.166 2
-0.011 8.312 5.183 2
-0.011 8.312 5.183 2
0.028 8.32 5.188 2
0.076 8.329 5.214 2
0.095 8.339 5.229 2
0.136 8.375 5.274 2
0.172 8.36 5.31 3
0.189 8.356 5.336 2
0.184 8.363 5.389 2
0.198 8.37 5.427 2
0.251 8.336 5.549 1
0.251 8.336 5.549 2
0.251 8.329 5.588 2
0.32 8.348 5.652 2
0.335 8.332 5.674 2
0.275 8.303 5.719 2
0.191 8.291 5.755 2
0.169 8.26 5.844 2
0.146 8.224 5.901 2
0.129 8.205 5.94 2
0.057 8.188 6.026 2
0.057 8.188 6.026 2
0.038 8.181 6.04 2
0.011 8.159 6.035 2
-0.009 8.152 6.045 2
-0.129 8.197 6.093 2
-0.148 8.214 6.081 2
-0.138 8.231 6.047 2
-0.153 8.253 6.052 2
-0.16 8.26 6.045 2
-0.179 8.26 6.038 2
-0.179 8.26 6.038 2
-0.177 8.262 6.038 2
-0.174 8.257 6.031 2
-0.15 8.262 6.031 2
-0.112 8.262 6.045 2
-0.081 8.257 6.04 2
-0.019 8.257 6.019 2
0.031 8.262 6.014 2
0.071 8.269 6.023 2
0.227 8.255 6.033 2
0.227 8.255 6.033 2
0.256 8.245 6.028 2
0.296 8.238 6.028 2
0.325 8.231 6.031 2
0.361 8.195 6.047 2
0.38 8.181 6.076 2
0.363 8.14 6.155 2
0.325 8.111 6.352 2
0.268 8.042 6.545 2
0.215 7.963 6.612 2
0.215 7.963 6.612 2
0.21 7.951 6.629 2
0.217 7.934 6.641 2
0.193 7.934 6.663 2
0.201 7.975 6.672 2
0.22 7.977 6.67 2
0.201 7.984 6.672 2
0.198 8.006 6.658 2
0.169 8.035 6.646 2
0.143 8.066 6.632 3
0.143 8.078 6.593 2
0.122 8.08 6.548 2
0.105 8.075 6.502 2
0.088 8.085 6.452 2
0.057 8.104 6.404 1
0.038 8.109 6.395 2
